film_title,category,plot
Kaptan Amerika: Cesur Yeni Dünya,"Aksiyon, Gerilim, Bilim-Kurgu","Kaptan Amerika: Cesur Yeni Dünya, Kaptan Amerika'nın maceralarını konu ediyor. Amerika Birleşik Devletleri'nin yeni Başkanı Thaddeus Ross ile tanıştıktan kısa bir süre sonra Kaptan Amerika olarak da bilinen Sam Wilson, kendisini devasa bir uluslararası olayın tam ortasında bulur. Operasyonun gerçek dehası tüm dünyayı ateşe vermeden önce Sam Wilson zamana karşı amansız bir savaşa girişir."
Şafağa Kadar,"Korku, Gizem","Kız kardeşi Melanie'nin gizemli bir şekilde kaybolmasının üzerinden bir yıl geçtikten sonra, Clover ve arkadaşları cevaplar bulmak için kız kardeşinin ortadan kaybolduğu ücra vadiye doğru yola çıkarlar. Terk edilmiş bir ziyaretçi merkezini keşfederken, maskeli bir katil tarafından takip edildiklerini ve korkunç bir şekilde teker teker öldürüldüklerini fark ederler ancak sonra uyanıp kendilerini aynı akşamın başlangıcına dönmüş olarak bulurlar."
Karate Kid: Efsane Dövüşçüler,"Aksiyon, Macera, Dram","Pekin'den New York'a taşınan genç kung fu yeteneği Li Fong'un hikâyesi anlatılıyor. Ailevi bir trajedinin ardından yeni hayatına uyum sağlamaya çalışan Li, bir arkadaşına yardım etmek için bir karate turnuvasına katılmaya karar verir. Ancak, kung fu bilgisi yeterli olmadığından, eğitmeni Bay Han, orijinal Karate Kid olan Daniel LaRusso'dan yardım ister. İkili, Li'yi hem kung fu hem de karate teknikleriyle eğiterek, onu turnuvaya hazırlar."
The Last Stand of Ellen Cole,"Aksiyon, Macera","Kötü niyetli bir müteahhit, yeni projesinin önünde engel teşkil eden hırçın bir kiracıyı evden çıkarmak için aşırı önlemlere başvurduğunda, bu görünüşte zararsız yaşlı kadının eğitimli bir katil olduğunu ve sevgili evini korumak için her şeyi yapacağını hesaba katmaz."
Kayıp Dünya,"Aksiyon, Fantastik, Macera","Bu fantastik macera, aynı adı taşıyan George R.R. Martin öykülerinden uyarlanmıştır. Bir büyücü, Kayıp Diyarlar’a doğru yolculuk eder. Amacı, bir kişinin kurt adam dönüşümüne olanak tanıyan sihirli bir gücü bulmaktır. Bu mistik hikâye, iyilik ve kötülük, borç ve tatmin, aşk ve kayıp gibi temaları keşfeder. Büyü ve yaratıklarla dolu bu dünyada, büyücü Alys ve rehberi, gezgin Boyce, insanlar ve iblislerle mücadele ederken zorlu bir yolculuğa çıkarlar. Büyülü bir dünyada gerilim ve macera dolu bir yolculuğa katılın."
Culpa Mia,"Romantik, Dram","Noah yaşadığı şehri, sevgilisini ve arkadaşlarını geride bırakıp annesinin yeni kocasının malikânesine taşınmak zorunda kalır. Orada tanıştığı yeni üvey kardeşi Nick'le karakterleri uyuşmasa da aralarındaki çekim ile asi ve sancılı mizaçları ikilinin dünyasını altüst eder ve birbirlerine sırılsıklam âşık olmalarına neden olur."
xXx,"Aksiyon, Macera, Gerilim, Suç","Xander Cage kazancını heyecan yaratan maceralarının video kayıtlarını internete satarak sağlamaktadır ve hayranları da çok fazladır. ancak yasalara uymadığından da sayısız suçu vardır. Xander 'in bilmediği ise Ulusal Güvenlik Ajansı'na bağlı deneyimli ve eski bir ajan olan Augutus Gibbons tarafından izlendiğidir.Ajan Gibbons ve Ulusal Güvenlik uzaklarda, Prag'da umutsuz bir durumla karşı karşıyadırlar. Ajansın yeraltındaki gizli ajanı kendilerine Anarşi 99 adı verilen acımasız bir çete tarafından öldürülmüştür. Ve Gibbons'un Prag'a gidecek ve yeraltına inip bu çetenin kurallarına göre oynayarak onların dünyayı yok etmek için yaptığı planları öğrenmesine ve yok etmesini sağlayacak yeni bir ajana ihtiyacı vardır.Ajan Xander Cage, kod adı XXX..."
Kirpi Sonic 3,"Aksiyon, Bilim-Kurgu, Komedi, Aile","Süpersonik hızlarda koşabilen mavi bir kirpi olan Sonic'in maceralarını konu alan bu seride, dostları Knuckles ve Tails ile birlikte, daha önce karşılaştıkları hiçbir şeye benzemeyen gizemli ve güçlü bir düşman olan Shadow'a karşı mücadele ediyor. Shadow, sahip olduğu benzersiz yeteneklerle Sonic ve arkadaşlarını zorluyor. Bu tehlikeli düşmanı durdurmak ve gezegeni korumak için Sonic ve ekibi, beklenmedik ittifaklar kurmak zorunda kalıyor."
Ejderhanı Nasıl Eğitirsin 3: Gizli Dünya,"Animasyon, Aile, Macera","Hicks, Vikinglerin ilk ejderha eğitmeni olmuş ve ejderhalar ile insanlar arasındaki barışı sağlama görevini başarıyla yerine getirmiştir. Ejderhası Dişsiz ile kazandıkları bu barış, Dişsiz'in yeni keşfi ile önemini kaybeder. Dişsiz artık tükendiğini sandığı kendi soyuna mensup bir ejderhayı keşfeder. Bu dişi ejderha vahşi ve zorludur. Tehlike bir kez daha kapıya dayandığında ve Hicks'in otoritesi sınandığında, ejderha da binici de kendi türünü korumak için önemli kararlar vermek zorunda kalacaktır."
Lilo ve Stiç,"Animasyon, Aile, Komedi","Dünya dışından gelen bir hikayeyi anlatan bu nefis Disney animasyonu, vahşi ve dayanılmaz karakterleriyle şimdi kalplerinizi fethetmeye hazırlanıyor. Sadakati, arkadaşlığın gücünü ve bu dünyada kendine bir yer bulmanın hikayesini anlatan dünya çapında gişe başarısı yakalamış kalpleri ısıtan bir komedi. Hawaii'de, adı Lilo olan evlat edinilmiş küçük yerli bir kız çocuğu, masum bir köpek yavrusu bulur. Stiç, aslında dünya dışı bir yaratıktır. Tüm ailenizle birlikte tekrar tekrar eğlenerek izleyeceğiniz macera dolu bir komedi."
